Equation 1,Equation 2,Value of X,Value of Y
8x + 17y = 169,3x + 8y = 78,2,9
9x + 5y = 78,19x + 13y = 172,7,3
14x + 15y = 11,10x + 15y = -5,4,-3
11x + 2y = 96,19x + 19y = 57,10,-7
2x + 17y = 127,14x + 9y = 119,4,7
10x + 17y = -76,14x + 12y = -12,6,-8
14x + 13y = 69,5x + 6y = 26,4,1
15x + 19y = 211,x + 19y = 85,9,4
10x + 9y = 82,10x + 8y = 74,1,8
8x + 10y = 122,17x + 2y = 163,9,5
3x + 8y = 35,20x + 11y = 191,9,1
18x + 20y = 304,17x + 4y = 168,8,8
6x + 4y = 56,4x + 16y = 64,8,2
20x + 7y = -15,10x + 4y = -10,1,-5
12x + 2y = 72,14x + 9y = 124,5,6
3x + 19y = -137,3x + 7y = -41,5,-8
8x + 16y = 48,12x + 2y = 50,4,1
x + 20y = 201,2x + 9y = 92,1,10
5x + 2y = 30,16x + 17y = 202,2,10
15x + 5y = 205,14x + 9y = 187,14,-1
14x - 9y = -33,19x + 18y = 348,6,13
10x + 10y = -10,11x + 19y = -27,1,-2
3x - 10y = -50,13x + 9y = 202,10,8
3x + 9y = 93,5x + 13y = 135,1,10
14x + 2y = 138,8x + 5y = 48,11,-8
8x + 7y = -3,17x + 14y = -2,4,-5
15x + 16y = -1,7x + 3y = 4,1,-1
20x - 3y = 279,5x + 13y = 166,15,7
17x + 15y = 207,18x + 7y = 157,6,7
8x + 11y = -21,7x + 19y = -84,7,-7
10x - 3y = 137,5x + 14y = 84,14,1
12x - 8y = -8,4x + 16y = 128,4,7
20x + 20y = 200,4x + 7y = 64,2,8
4x + 13y = 103,19x + 7y = 106,3,7
5x + 19y = -23,10x + 15y = 0,3,-2
13x + 7y = 88,9x + 6y = 54,10,-6
5x + 13y = 124,5x + 2y = 36,4,8
11x - 10y = -106,9x + 10y = 186,4,15
5x - 12y = 38,20x + 14y = 214,10,1
2x + 7y = 69,6x + 8y = 90,3,9
9x - 14y = -159,15x + 8y = 111,1,12
2x + 6y = 16,6x + 19y = 49,5,1
2x + 18y = -42,12x + 3y = 63,6,-3
15x - 17y = -80,6x + 12y = 156,6,10
20x - 3y = 259,2x + 17y = 147,14,7
10x + 19y = 162,17x + y = 25,1,8
8x + 2y = 58,14x + 4y = 98,9,-7
3x + 9y = -24,7x + 10y = -12,4,-4
6x + 14y = 24,17x + 9y = 160,11,-3
15x - 6y = 171,2x + 8y = 58,13,4
19x + 20y = 58,13x + 14y = 40,2,1
15x + 5y = 85,11x + 8y = 97,3,8
3x + 8y = -77,18x + 12y = -102,1,-10
13x - 9y = 85,8x + 19y = 175,10,5
5x + 5y = 65,5x + 15y = 95,10,3
11x + 18y = 148,14x + 18y = 154,2,7
x + 16y = 67,16x + 19y = 124,3,4
13x - 7y = 149,14x + 5y = 173,12,1
20x + 3y = 199,15x + 6y = 123,11,-7
5x + 20y = 150,16x + 18y = 204,6,6
13x + 9y = 181,2x + 19y = 204,7,10
16x - 5y = -19,11x + 9y = 74,1,7
16x + y = 56,3x + 19y = 161,3,8
x + 3y = 34,15x + 12y = 180,4,10
8x - 4y = -8,16x + 19y = 92,1,4
10x - 18y = -8,2x + 14y = 16,1,1
x + 8y = 32,16x + 7y = 149,8,3
6x + 6y = -6,16x + 20y = -52,8,-9
6x + 14y = 88,17x + 10y = 190,10,2
17x + 2y = 40,x + 5y = 17,2,3
10x - 2y = 62,14x + 2y = 106,7,4
7x + 6y = -11,7x + 11y = -26,1,-3
17x + 15y = 167,6x + 12y = 126,1,10
4x + 3y = 39,14x + 12y = 138,9,1
7x + 4y = -19,2x + 19y = -184,3,-10
15x + 14y = 171,15x + 8y = 117,3,9
8x + 12y = 72,17x + 11y = 182,12,-2
10x - 9y = -26,20x + 11y = 64,1,4
17x - 4y = -15,18x + 19y = 170,1,8
11x + 18y = 236,3x + 6y = 72,10,7
10x - 13y = 85,20x + 20y = 400,15,5
2x + 4y = -20,10x + 17y = -73,8,-9
20x + 17y = 196,16x + 16y = 176,3,8
12x - 9y = -90,17x + 7y = 149,3,14
11x + 18y = 124,17x + 12y = 160,8,2
5x - 5y = 70,6x + 12y = 102,15,1
15x - 11y = 118,14x + 9y = 245,13,7
5x + 16y = 165,12x + 14y = 152,1,10
6x + 14y = 144,14x + 8y = 188,10,6
16x + 15y = -56,15x + 12y = -36,4,-8
x + 7y = 44,15x + 13y = 108,2,6
13x + 12y = 141,12x + 13y = 134,9,2
10x + 4y = 130,10x + 17y = 260,9,10
7x + 15y = -46,20x + 16y = -24,2,-4
14x - 14y = -14,9x + 16y = 216,8,9
11x - 17y = -52,2x + 6y = 36,3,5
14x - 3y = 83,12x + 2y = 94,7,5
16x + y = 72,15x + 12y = 156,4,8
12x + 12y = 168,10x + 2y = 60,4,10
12x - 7y = 99,6x + 13y = 99,10,3
11x - 3y = 86,11x + 13y = 214,10,8
18x + 10y = 230,11x + 2y = 120,10,5
10x + 10y = 130,11x + 9y = 135,9,4
11x + 10y = 118,13x + 17y = 155,8,3
7x + 16y = 108,18x + 4y = 92,4,5
19x + 13y = 249,5x + 18y = 153,9,6
10x + 11y = 59,9x + 6y = 57,7,-1
11x + 7y = 70,5x + 10y = 25,7,-1
8x + 15y = 176,15x + 9y = 177,7,8
8x + 7y = 33,6x + 11y = -27,12,-9
3x + 6y = 33,11x + y = 58,5,3
17x + y = 22,4x + 14y = 74,1,5
14x + 9y = 148,5x + 19y = 116,8,4
11x + 11y = 0,13x + 12y = 5,5,-5
x + 18y = 183,15x + 7y = 115,3,10
16x + 10y = 122,5x + y = 19,2,9
9x + 5y = 125,16x + y = 167,10,7
10x + 20y = 10,19x + 15y = 180,15,-7
6x + 18y = 180,6x + 12y = 126,3,9
13x + 12y = 86,19x + 13y = 103,2,5
16x - 16y = 48,5x + 15y = 55,5,2
19x + 3y = 196,9x + 14y = 118,10,2
9x + 8y = 88,20x + 9y = 178,8,2
18x + 3y = 138,19x + 7y = 161,7,4
10x + 3y = 29,6x + 10y = 42,2,3
17x + 18y = -19,4x + 10y = -16,1,-2
11x + 7y = 61,19x + 2y = 176,10,-7
14x + 14y = 140,19x + 15y = 202,13,-3
9x + 15y = -66,6x + 16y = -74,1,-5
2x - 5y = -8,15x + 3y = 21,1,2
7x + 11y = 58,15x + 9y = 66,2,4
3x - 12y = -3,10x + 10y = 90,7,2
13x + 18y = -30,14x + 18y = -24,6,-6
2x + 11y = 24,x + 7y = 15,1,2
16x + 2y = 86,8x + 6y = 18,6,-5
5x + 18y = 34,7x + 12y = 74,14,-2
5x + 20y = 170,2x + 18y = 148,2,8
14x + 13y = 177,10x + 6y = 110,8,5
4x - 9y = -100,17x + 4y = 82,2,12
9x + 15y = 186,15x + 19y = 268,9,7
7x + 3y = 22,3x + 9y = -6,4,-2
2x + 15y = 121,8x + 16y = 176,8,7
15x + 5y = 70,6x + 4y = 44,2,8
8x + 15y = 76,19x + 17y = 106,2,4
9x + 12y = 75,5x + 17y = 52,7,1
17x + 16y = -126,14x + 12y = -92,2,-10
7x + 6y = 38,7x + 3y = 26,2,4
12x + 16y = 52,2x + 2y = 8,3,1
12x - 15y = 18,3x + 15y = 192,14,10
4x + 20y = 160,5x + 12y = 109,5,7
2x - 13y = -161,17x + 14y = 250,4,13
14x - 2y = 98,6x + 12y = 222,9,14
12x + 5y = 140,10x + 9y = 78,15,-8
7x + 20y = 147,4x + 9y = 67,1,7
7x + 8y = 107,x + 9y = 86,5,9
14x + 10y = 82,16x + 3y = 119,8,-3
7x + 12y = 41,8x + 17y = 37,11,-3
9x + 15y = 108,5x + 14y = 94,2,6
3x - 12y = -132,17x + 8y = 164,4,12
10x - 15y = 40,17x + 13y = 222,10,4
11x + 8y = 57,18x + 9y = 81,3,3
5x + 3y = 36,11x + 16y = 51,9,-3
10x + 13y = 210,17x + 20y = 336,8,10
4x + 4y = 68,3x + 2y = 41,7,10
18x - 14y = 62,17x + 8y = 101,5,2
19x - 13y = -100,9x + 18y = 315,5,15
19x - 8y = -28,5x + 19y = 267,4,13
12x + 14y = 198,11x + 13y = 183,6,9
13x + 20y = 198,6x + 11y = 102,6,6
10x - 5y = -30,19x + 11y = 148,2,10
2x + 19y = 126,x + 19y = 120,6,6
12x - 2y = 152,10x + 7y = 144,13,2
11x + 15y = 71,9x + 20y = 89,1,4
16x + 15y = 169,14x + 14y = 154,4,7
19x + y = 97,2x + 15y = 40,5,2
13x + 16y = 17,19x + 11y = 62,5,-3
12x + 2y = 130,7x + 9y = 68,11,-1
8x + 6y = 18,12x + 3y = 57,6,-5
17x + 20y = -1,7x + 11y = -17,7,-6
4x - 10y = -26,13x + 12y = 227,11,7
19x + 2y = 84,19x + 3y = 88,4,4
7x + 7y = 56,7x + y = 44,6,2
8x + 7y = 71,19x + 7y = 82,1,9
20x - 18y = -212,19x + 6y = 122,2,14
19x + 2y = 67,14x + 8y = 82,3,5
10x + 9y = 25,10x + 10y = 20,7,-5
18x + 5y = 207,2x + 2y = 36,9,9
19x + y = 138,2x + 20y = 114,7,5
12x - 12y = -60,13x + 17y = 265,6,11
18x + y = 59,11x + 19y = 128,3,5
6x + 12y = -36,15x + 11y = 5,4,-5
19x - 18y = -10,12x + 8y = 168,8,9
14x + 12y = -28,20x + 11y = 3,4,-7
5x - 10y = -75,10x + 12y = 234,9,12
9x + 10y = -16,17x + 14y = 4,6,-7
6x + 5y = 65,11x + 8y = 111,5,7
4x + 8y = 44,5x + 11y = 56,9,1
5x - 10y = 20,16x + 12y = 196,10,3
13x + 14y = 36,18x + 16y = 60,6,-3
2x + 15y = 0,10x + 17y = 116,15,-2
10x + 9y = 56,5x + 9y = 1,11,-6
7x + 8y = 111,18x + y = 168,9,6
4x - 15y = -43,9x + 13y = 137,8,5
13x + 17y = 249,4x + 5y = 75,10,7
3x - 8y = -13,5x + 14y = 33,1,2
18x + 10y = 120,17x + 3y = 94,5,3
18x + 18y = 144,11x + y = 78,7,1
9x + 11y = 94,2x + 8y = 32,8,2
15x + 4y = 31,15x + 6y = 39,1,4
20x + 6y = 228,13x + 2y = 133,9,8
11x - 9y = 24,9x + 18y = 45,3,1
4x + 11y = -18,5x + 14y = -24,12,-6
20x - 8y = 4,20x + 2y = 24,1,2
2x + 8y = -28,19x + 6y = 224,14,-7
4x + 11y = -10,11x + 6y = 118,14,-6
4x + 3y = 51,19x + 6y = 201,9,5
x + 6y = 18,2x + 10y = 32,6,2
15x + 14y = 74,x + 9y = 13,4,1
5x + 2y = 42,8x + 13y = 126,6,6
4x + 13y = 121,7x + 19y = 178,1,9
12x - 17y = -66,19x + 6y = 93,3,6
8x - 4y = -16,9x + 17y = 111,1,6
x + 11y = 56,2x + 18y = 92,1,5
6x + 10y = 82,10x + 14y = 126,7,4
5x + 7y = 42,19x + 9y = 142,7,1
9x - 13y = -26,6x + 14y = 232,13,11
3x + y = 13,x + 4y = 30,2,7
15x + 9y = 222,13x + 9y = 202,10,8
11x + 18y = -24,7x + 17y = -43,6,-5
12x + 4y = 108,17x + 13y = 219,6,9
8x + 13y = -2,16x + 9y = 30,3,-2
20x - 8y = -20,9x + 16y = 285,5,15
18x + 6y = 156,15x + y = 122,8,2
17x + 19y = 110,11x + 6y = 46,2,4
12x + 2y = 58,16x + 6y = 74,5,-1
2x + 12y = -22,12x + 3y = 6,1,-2
2x + 5y = 16,5x + 2y = 19,3,2
11x + 8y = 89,13x + 4y = 67,3,7
20x - 2y = 126,3x + 11y = 98,7,7
19x + 2y = 86,9x + 2y = 46,4,5
6x + 9y = 15,18x + 5y = 155,10,-5
7x - 18y = -62,8x + 12y = 92,4,5
7x + 19y = 208,16x + 11y = 216,8,8
13x + 5y = 111,17x + 13y = 87,12,-9
6x + 17y = -70,16x + 20y = 16,11,-8
7x + 8y = 19,11x + 6y = 89,13,-9
7x + 3y = 20,9x + 9y = 36,2,2
20x + 13y = 55,12x + 15y = -3,6,-5
12x - 15y = -189,14x + 13y = 237,3,15
2x + 9y = 13,12x + 6y = 30,2,1
8x + 6y = 72,15x + 17y = 181,3,8
15x + y = 139,17x + y = 157,9,4
7x - 8y = -10,12x + 8y = 200,10,10
19x + 12y = 107,16x + 19y = 99,5,1
20x - 18y = -30,11x + 19y = 417,12,15
19x + 4y = 150,7x + 16y = -90,10,-10
18x - 6y = 0,16x + 11y = 245,5,15
13x + 18y = -2,6x + 17y = -27,4,-3
7x - 6y = 3,17x + 3y = 183,9,10
x + 16y = 100,6x + y = 30,4,6
6x + 2y = 72,15x + 14y = 99,15,-9
19x + 3y = 88,19x + 19y = 152,4,4
5x + 7y = 95,17x + y = 95,5,10
3x + 9y = -42,12x + 12y = -24,4,-6
17x - 5y = 35,7x + 12y = 155,5,10
8x + 17y = 140,19x + 18y = 243,9,4
5x - 8y = -71,20x + 5y = 160,5,12
19x - 13y = 43,6x + 16y = 94,5,4
20x + 17y = 46,19x + 11y = 54,4,-2
8x + 16y = 192,8x + 12y = 152,4,10
5x - 11y = -89,3x + 20y = 319,13,14
12x + 15y = 111,x + 3y = 11,8,1
6x - 6y = 42,17x + 11y = 259,12,5
14x + 15y = 150,4x + 3y = 48,15,-4
10x - 7y = 59,20x + 10y = 190,8,3
9x + 18y = 90,5x + 11y = 51,8,1
13x + 14y = 192,7x + 12y = 148,4,10
x + 8y = 12,19x + 16y = 92,4,1
16x + 7y = 9,17x + 9y = 8,1,-1
5x - 11y = -35,20x + 7y = 115,4,5
4x + 14y = 158,2x + 13y = 133,8,9
18x + 18y = 342,5x + 19y = 235,9,10
14x - 13y = 142,10x + 7y = 134,12,2
12x + 19y = -92,14x + 9y = -2,5,-8
13x - 13y = 143,12x + 7y = 189,14,3
9x + 9y = 99,14x + 17y = 169,6,5
2x - 18y = -30,20x + 13y = 86,3,2
14x - 11y = 86,7x + 9y = 188,14,10
10x + 12y = 196,12x + 19y = 272,10,8
18x - 2y = 46,8x + 16y = 240,4,13
9x - 9y = 99,14x + 20y = 256,14,3
5x - 8y = -89,2x + 5y = 71,3,13
9x - 16y = 103,9x + 15y = 165,15,2
13x + 18y = 103,7x + 15y = 82,1,5
4x + y = 28,10x + 4y = 82,5,8
7x - 7y = 35,20x + 9y = 361,14,9
10x + 17y = 226,x + 6y = 57,9,8
11x + 17y = -71,7x + 11y = -47,9,-10
x + 20y = 44,12x + 2y = 52,4,2
17x + 14y = 129,16x + 19y = 168,1,8
12x - 8y = 136,5x + 14y = 74,12,1
7x + 10y = 73,17x + 4y = 157,9,1
19x - 9y = 184,13x + 20y = 309,13,7
4x + 15y = 140,18x + y = 98,5,8
16x + 18y = 120,14x + 2y = 50,3,4
18x + 9y = -54,18x + 4y = -4,2,-10
15x + 3y = 135,12x + 13y = 161,8,5
14x + 20y = 286,6x + 8y = 118,9,8
11x - 2y = 146,15x + 17y = 278,14,4
6x + 7y = 55,x + 16y = 113,1,7
10x + 20y = 220,12x + 7y = 145,8,7
17x + 9y = -46,13x + 20y = -127,1,-7
14x + y = 23,13x + 17y = 166,1,9
9x + 5y = -7,2x + 19y = -91,2,-5
2x - 11y = -44,20x + 13y = 298,11,6
6x + 3y = 60,19x + 19y = 152,12,-4
4x + 2y = 56,19x + 10y = 271,9,10
20x + 4y = 228,9x + 14y = 66,12,-3
2x + 15y = 46,2x + y = 18,8,2
17x + y = 155,7x + 15y = 93,9,2
4x - 10y = -136,3x + 13y = 185,1,14
18x - 4y = 220,2x + 7y = 84,14,8
17x - 16y = 86,20x + 3y = 123,6,1
7x - 11y = -41,15x + 14y = 363,13,12
15x + y = 16,11x + 4y = 15,1,1
14x - 2y = 68,11x + 11y = 242,7,15
19x - 15y = -138,12x + 5y = 101,3,13
16x + y = 102,15x + 9y = 144,6,6
8x + 12y = 136,13x + 9y = 116,2,10
19x + 13y = 121,8x + 10y = 60,5,2
x + 20y = 127,10x + 10y = 130,7,6
7x + 14y = 161,5x + 12y = 135,3,10
3x + 18y = 180,20x + 17y = 273,6,9
17x + 9y = 202,14x + 9y = 160,14,-4
14x + 20y = -98,14x + 8y = -14,3,-7
4x + 7y = 95,15x + 15y = 255,8,9
18x - 15y = 153,10x + 14y = 152,11,3
7x - 17y = -38,16x + 19y = 376,14,8
5x + 14y = -34,17x + 5y = 140,10,-6
13x - 18y = -81,4x + 16y = 212,9,11
20x + 13y = 257,18x + 4y = 162,7,9
15x + 20y = 235,16x + 8y = 144,5,8
17x + 15y = 124,9x + 13y = 96,2,6
2x - 18y = -88,14x + 11y = 206,10,6
2x + 19y = 147,9x + 15y = 168,7,7
9x - 6y = 75,7x + 11y = 121,11,4
19x + 5y = 47,12x + 11y = 14,3,-2
18x - 7y = 207,2x + 14y = 156,15,9
14x + 16y = 272,18x + 4y = 184,8,10
4x - 18y = -188,8x + 5y = 116,7,12
16x - 13y = 21,11x + 13y = 168,7,7
8x + 17y = 18,7x + 2y = 93,15,-6
14x + 19y = -2,18x + 16y = 48,8,-6
14x + 16y = 116,11x + 11y = 99,14,-5
10x + 15y = -80,2x + 3y = -16,7,-10
7x + 14y = 175,19x + 16y = 277,7,9
15x + 6y = 171,13x + 3y = 168,15,-9
14x + 9y = -22,17x + 10y = -23,1,-4
9x + 10y = 57,7x + 20y = 81,3,3
12x + 12y = -48,4x + 20y = -112,2,-6
8x - 15y = 57,4x + 18y = 54,9,1
16x + 17y = -23,10x + 19y = -73,6,-7
11x - 10y = -69,11x + 20y = 171,1,8
17x + 10y = 77,8x + 13y = 86,1,6
4x + 20y = -16,9x + 14y = 26,6,-2
5x + 3y = 34,20x + 19y = 157,5,3
16x + 20y = 84,20x + 13y = 189,14,-7
17x - 3y = 98,17x + 6y = 161,7,7
8x - 3y = 83,10x + 9y = 193,13,7
19x - 15y = -104,3x + 19y = 240,4,12
20x + 13y = -32,13x + 11y = -31,1,-4
19x + 9y = 80,2x + 17y = -120,8,-8
9x + 5y = 95,6x + 3y = 63,10,1
3x + 19y = 88,10x + 14y = 96,4,4
13x - 9y = 11,14x + 20y = 190,5,6
12x + 20y = 252,3x + 14y = 144,6,9
6x + 4y = 58,5x + 11y = 56,9,1
x + 8y = 21,9x + 3y = 51,5,2
8x + 16y = 40,18x + 8y = 62,3,1
18x + 18y = 162,14x + 8y = 78,1,8
10x + y = 53,15x + 20y = 135,5,3
15x + 7y = 138,7x + 8y = 36,12,-6
8x + y = 46,16x + 16y = 176,5,6
7x + 7y = 77,8x + 17y = 142,5,6
5x + 16y = 98,16x + 15y = 205,10,3
15x + 14y = 102,2x + 6y = 26,4,3
13x + 5y = 62,6x + 11y = 46,4,2
8x + 9y = 58,19x + 15y = 176,14,-6
15x + 17y = 215,19x + y = 67,3,10
17x + 12y = 179,7x + 6y = 79,7,5
14x + 3y = 110,18x + 20y = 206,7,4
5x - 18y = -33,6x + 10y = 150,15,6
20x + 8y = 184,12x + 14y = 138,8,3
2x + 15y = 96,4x + 6y = 48,3,6
5x + 4y = 80,6x + 6y = 108,8,10
6x + 19y = -35,15x + 2y = 140,10,-5
18x + 14y = 228,19x + y = 158,8,6
17x + 7y = 110,19x + 3y = 94,4,6
4x + 6y = 90,4x + 17y = 189,9,9
9x - 14y = -53,6x + 10y = 100,5,7
3x - 14y = -153,8x + 17y = 244,5,12
15x - 4y = 194,20x + 16y = 344,14,4
16x - 4y = 192,7x + 11y = 186,14,8
15x + y = 100,3x + 5y = 68,6,10
11x - 9y = -102,12x + 15y = 261,3,15
15x + y = 98,2x + 5y = 52,6,8
20x + 4y = 168,3x + 18y = 60,8,2
16x + 16y = 96,16x + 10y = 102,7,-1
12x + 14y = -76,11x + 13y = -71,3,-8
2x + 12y = 64,18x + 19y = 220,8,4
16x + 15y = 249,4x + 8y = 92,9,7
17x + 10y = 139,9x + 10y = 83,7,2
4x - 17y = -22,10x + 3y = 36,3,2
13x - 11y = -78,17x + 8y = 189,5,13
7x + 17y = 39,2x + 15y = 1,8,-1
9x - 3y = 18,6x + 3y = 27,3,3
11x + 13y = 46,3x + 2y = 11,3,1
4x + 8y = -60,12x + 7y = -10,5,-10
7x + 6y = 48,4x + 4y = 28,6,1
5x + 13y = -57,5x + 5y = 15,12,-9
12x + 15y = 159,18x + 10y = 176,7,5
9x + 7y = 103,12x + 17y = 122,13,-2
15x + 17y = 103,9x + 12y = 60,8,-1
20x + 17y = 193,9x + 7y = 81,2,9
7x + 9y = 109,10x + 17y = 193,4,9
7x + 16y = 88,20x + 6y = 172,8,2
17x + 14y = 110,11x + 2y = 50,4,3
18x + 12y = 66,16x + 9y = 57,3,1
16x + 20y = 168,6x + 18y = 84,8,2
8x + 3y = 46,11x + 20y = 222,2,10
9x - 16y = -143,19x + 2y = 199,9,14
11x + 10y = 64,8x + 11y = 13,14,-9
3x + 19y = 8,20x + 2y = 178,9,-1
4x + 7y = -15,15x + 4y = 144,12,-9
13x + 17y = 189,20x + 15y = 235,8,5
16x + 13y = 152,11x + 8y = 97,3,8
12x + 10y = 150,9x + 7y = 111,10,3
9x + 4y = 45,2x + 15y = -117,9,-9
12x + 5y = 32,8x + 14y = 64,1,4
5x + 9y = 111,13x + 2y = 96,6,9
11x - 15y = -17,6x + 6y = 90,8,7
19x + 17y = 271,5x + 10y = 110,8,7
8x - 18y = -148,19x + 5y = 126,4,10
17x + 15y = 147,2x + y = 15,6,3
5x + 11y = 51,x + 14y = 22,8,1
x + 5y = 51,14x + 5y = 64,1,10
9x + 20y = -171,12x + 2y = -6,1,-9
18x + 13y = 98,5x + 7y = 34,4,2
14x - 13y = 64,12x + 4y = 176,12,8
2x - 15y = -51,15x + 9y = 225,12,5
17x - 9y = 99,8x + 3y = 90,9,6
20x + 5y = 185,7x + 13y = 76,9,1
6x + 16y = 148,2x + 10y = 82,6,7
7x + 12y = 31,12x + y = 14,1,2
4x + 14y = -58,18x + 13y = -11,3,-5
11x - 15y = -132,15x + 13y = 188,3,11
13x + 16y = 62,3x + 20y = -2,6,-1
13x - 8y = 62,6x + 10y = 234,14,15
19x + 4y = 160,19x + 20y = 192,8,2
5x + 7y = 43,13x + 13y = 91,3,4
4x + 2y = 30,11x + 9y = 114,3,9
10x + 18y = 162,11x + 6y = 123,9,4
9x - 10y = 6,18x + 9y = 99,4,3
16x + 20y = 152,11x + 2y = 34,2,6
8x + 18y = -132,14x + 15y = -66,6,-10
x + 14y = 103,16x + 13y = 171,5,7
12x + 16y = -44,19x + 3y = 42,3,-5
14x + 13y = 15,15x + 14y = 16,2,-1
14x + 14y = 182,2x + 8y = 50,9,4
7x + 10y = 101,10x + 13y = 134,3,8
7x + 9y = 72,19x + y = 172,9,1
5x + 17y = 142,4x + 3y = 50,8,6
8x - 13y = 49,15x + 9y = 192,11,3
19x + 8y = 159,x + 6y = 53,5,8
16x + 17y = 173,12x + 14y = 126,14,-3
9x + 8y = 57,11x + 2y = 23,1,6
9x + 6y = 78,7x + 7y = 84,2,10
5x + 11y = -42,14x + 8y = 42,7,-7
12x + y = 28,11x + y = 26,2,4
9x - 13y = -164,17x + 15y = 244,2,14
6x + 6y = 6,4x + 20y = -140,10,-9
15x + 2y = 123,14x + 19y = 12,9,-6
12x + 8y = -44,12x + 3y = -9,1,-7
17x + 16y = 82,20x + 13y = 79,2,3
5x - 17y = 16,2x + 5y = 30,10,2
5x + 9y = 51,9x + 17y = 95,3,4
6x + 8y = -18,4x + 8y = -28,5,-6
18x + 4y = 248,8x + 7y = 105,14,-1
17x + 12y = 143,14x + 7y = 112,7,2
8x + 17y = 184,2x + 9y = 84,6,8
6x + 4y = 20,4x + 14y = -32,6,-4
20x + 10y = 100,4x + 18y = 148,1,8
17x + 18y = 237,20x + 12y = 288,15,-1
17x + 9y = 89,6x + 16y = 134,1,8
6x + 13y = 69,10x + 5y = 65,5,3
8x + 15y = 124,x + 15y = 68,8,4
18x + 18y = 144,9x + 20y = 17,13,-5
17x + 5y = 175,7x + 20y = 90,10,1
18x + 5y = 94,15x + 10y = 20,8,-10
15x + y = 51,10x + 8y = 78,3,6
12x - 5y = -8,12x + 9y = 48,1,4
19x + 7y = 192,9x + 3y = 90,9,3
19x - 3y = 13,14x + 8y = 30,1,2
4x - 11y = 23,17x + 20y = 298,14,3
15x - 13y = 154,16x + 9y = 210,12,2
18x + 17y = 53,2x + 7y = 11,2,1
9x + 18y = -27,2x + 17y = -123,15,-9
3x + 11y = 58,14x + 4y = 34,1,5
7x + 3y = 17,8x + y = 17,2,1
7x - 5y = 62,17x + 20y = 247,11,3
13x - 16y = 27,3x + 16y = 85,7,4
2x - 13y = -173,10x + 18y = 380,11,15
17x + 3y = 149,20x + 8y = 220,7,10
2x + 20y = -10,20x + 14y = 86,5,-1
4x + 9y = 51,2x + 8y = 36,6,3
8x + 5y = 28,14x + 10y = 54,1,4
3x + 16y = -154,7x + 16y = -146,2,-10
7x + 19y = 168,17x + 6y = 127,5,7
10x + 17y = 84,x + 18y = 41,5,2
20x + 5y = 185,13x + 16y = 31,11,-7
9x + 7y = -19,2x + 19y = -74,1,-4
5x - 15y = 60,15x + 4y = 229,15,1
17x + 7y = 57,4x + 6y = -4,5,-4
20x + 5y = 130,11x + 19y = 104,6,2
15x + 8y = 79,16x + y = 24,1,8
11x + 2y = 114,7x + 9y = 3,12,-9
10x + 11y = 155,19x + 12y = 250,10,5
8x + 18y = 154,18x + 8y = 184,8,5
17x + 19y = 208,5x + 10y = 70,10,2
11x - 7y = 40,3x + 17y = 200,10,10
14x + 10y = 146,x + 16y = 148,4,9
17x + 5y = 151,20x + 11y = 193,8,3
11x - 13y = 108,20x + 5y = 225,11,1
10x + 2y = 72,4x + 12y = 40,7,1
10x - 2y = 126,2x + 7y = 40,13,2
9x + 20y = -77,13x + 19y = -42,7,-7
9x - 3y = 93,14x + 9y = 172,11,2
8x + 12y = 36,x + 6y = 9,3,1
16x + 2y = 152,14x + 15y = 186,9,4
11x + 11y = 121,4x + 13y = 71,8,3
8x + 16y = -56,14x + 20y = -34,9,-8
2x + 8y = 22,8x + 12y = 48,3,2
x + 13y = 21,11x + 9y = 97,8,1
9x + 13y = 46,9x + 3y = 66,8,-2
17x + 10y = 67,7x + 7y = 42,1,5
19x + 3y = 130,7x + 10y = 39,7,-1
14x + 4y = 90,6x + 15y = 105,5,5
13x - 10y = 77,20x + 11y = 224,9,4
13x + 4y = 97,2x + 3y = 3,9,-5
7x - 4y = -24,17x + 17y = 289,4,13
2x - 3y = -29,6x + 20y = 348,8,15
11x + 20y = 34,6x + 5y = 54,14,-6
18x - 12y = 72,17x + 18y = 244,8,6
10x + 20y = 250,14x + 13y = 230,9,8
20x + 5y = 70,15x + 17y = -80,6,-10
9x + 4y = 35,11x + 11y = 55,3,2
10x + 7y = 136,16x + 13y = 232,8,8
9x - 5y = -32,11x + 12y = 142,2,10
3x + 11y = 93,2x + 18y = 126,9,6
8x + 6y = 64,7x + 6y = 62,2,8
x + y = 8,7x + 16y = 65,7,1
9x + 11y = 96,20x + 6y = 158,7,3
11x + 11y = -11,8x + 16y = -72,7,-8
18x + 15y = 132,11x + 6y = 68,4,4
19x + 16y = 255,10x + 10y = 150,5,10
19x + 4y = 17,2x + 17y = -164,3,-10
5x - 12y = -2,19x + 17y = 55,2,1
6x + 4y = 68,5x + 11y = 26,14,-4
18x + 13y = 256,15x + 2y = 125,7,10
20x + 2y = 120,18x + 14y = 230,5,10
10x - 7y = -3,15x + 20y = 270,6,9
19x + y = 194,19x + 5y = 210,10,4
8x + y = 86,18x + y = 186,10,6
20x + 5y = 50,5x + 12y = 34,2,2
9x + 5y = 90,2x + 15y = -105,15,-9
6x + 6y = 18,20x + 6y = 88,5,-2
8x + 18y = -90,12x + 18y = -54,9,-9
17x + 16y = 178,12x + 12y = 132,2,9
12x + 5y = 170,12x + 10y = 220,10,10
17x + 9y = 121,4x + 16y = 84,5,4
3x - 13y = -83,11x + 6y = 125,7,8
